composite_risk,Cluster,County,State
1.0365513657173737,1,Hale,AL
1.0328545235596807,1,Mississippi,AR
1.031825071625891,1,Harlan,KY
1.029708096683765,1,Johnston,OK
1.029379721441869,1,Abbeville,SC
1.028203712864417,1,Lee,KY
1.0279268481109205,1,Fayette,TN
1.0216704798856957,1,Colleton,SC
1.0159908015406072,1,Attala,MS
1.0147693245901441,1,Hardeman,TN
1.0137526840399624,1,Lake,TN
1.0135234803079627,1,Petersburg,VA
1.0125509581787235,1,Lincoln,MS
1.0090522524026548,1,Bertie,NC
1.0089962605616392,1,Wayne,WV
1.0086683525247786,1,Mingo,WV
1.0073771043011577,1,Dale,AL
1.0046589933378565,1,Rolette,ND
1.0032321208044794,1,Union,FL
0.9989457228559223,1,Hardy,WV
0.9961224699045009,1,Cocke,TN
0.9942270583815648,1,Clay,KY
0.9939940245763079,1,Apache,AZ
0.9923681550494373,1,Newton,MS
0.9894751796062823,1,Bourbon,KY
0.9882219568397029,1,Liberty,FL
0.9880597776773415,1,Holmes,MS
0.9860386051207252,1,Pawnee,OK
0.9829537758871858,1,Clay,AL
0.9799954472741713,1,Concordia,LA
0.9791151791905285,1,Allendale,SC
0.9757554567063594,1,Burke,GA
0.9756962226253714,1,Roane,WV
0.9727290378320933,1,Poinsett,AR
0.9721053271716691,1,Bladen,NC
0.9688869828201845,1,St. Mary,LA
0.9678227017371658,1,Hertford,NC
0.9672976807603918,1,Nevada,AR
0.9615944178251016,1,Carter,TN
0.9603907238434456,1,Newberry,SC
0.9597390629744924,1,Marion,TN
0.957340462849214,1,Dyer,TN
0.9572041864922092,1,Washington,NC
0.9570424871539772,1,Lauderdale,TN
0.9563256506204248,1,Martin,KY
0.9548907664401854,1,Sumter,SC
0.9536196464063259,1,Phillips,AR
0.9507524240631209,1,Lafayette,AR
0.9491388392225686,1,Creek,OK
0.9482184932231071,1,Seminole,OK
0.9468665461941038,1,Adair,KY
0.9455340158649109,1,Jones,NC
0.9443452579243675,1,De Soto,LA
0.9418658802297311,1,Walker,AL
0.9407505482240842,1,Monroe,MS
0.9401412791935316,1,Floyd,KY
0.9390628984332562,1,Calhoun,MS
0.9353796571636253,1,Franklin,AR
0.9353172439402505,1,McDuffie,GA
0.9338049978873094,1,Vance,NC
0.9335716030423818,1,Twiggs,GA
0.9333889665437303,1,Hawkins,TN
0.9333038629464694,1,Clarke,MS
0.9325662591686213,1,Monroe,AR
0.9308063662011233,1,Turner,GA
0.9307318024556042,1,Sunflower,MS
0.9297905981834749,1,Big Horn,MT
0.9273710479046847,1,Barbour,WV
0.9236871946760786,1,Bolivar,MS
0.915753341212943,1,Brooks,GA
0.9153271851641552,1,Pike,AL
0.9124867845011243,1,Neshoba,MS
0.911885301057916,1,Caswell,NC
0.9077963381570381,1,Jackson,TN
0.9063530297782184,1,Darlington,SC
0.9051981684018363,1,Franklin,LA
0.9050804029594223,1,Jackson,KY
0.90405261590869,1,Murray,OK
0.9029426460996923,1,Pleasants,WV
0.9007765414570473,1,Grenada,MS
0.899621552547801,1,Berkeley,SC
0.8993793613896768,1,Vinton,OH
0.8975597685695144,1,Meriwether,GA
0.8974222911146824,1,Richland,LA
0.8965837873412417,1,Lawrence,AL
0.8956772419048667,1,Union,SC
0.892679203325895,1,Claiborne,LA
0.8921891416519881,1,Nowata,OK
0.8914726740865564,1,McIntosh,OK
0.8910999640376792,1,Lyon,KY
0.8894011375436046,1,Van Buren,TN
0.8887996991972325,1,Lowndes,MS
